respuesta,nota
"La Revolución Francesa se dio en 1789 y cayó la monarquía absoluta, dando paso a la República y defendiendo la libertad, igualdad y derechos del pueblo francés",10
"En 1789, el pueblo francés se levantó contra el rey Luis y la monarquía, iniciando la Revolución Francesa y buscando la libertad e igualdad",9
"La Revolución Francesa fue en 1789 y se derrumbó la monarquía, lo que permitió la creación de una república con más derechos para el pueblo",8.5
"En 1789, la Revolución Francesa cambió el sistema monárquico por uno más justo, con el lema de libertad, igualdad y fraternidad",9
"1789, eso fue cuando la Revolución Francesa derrocó al rey y estableció una república, con más libertades para el pueblo francés",8
"La Revolución Francesa empezó en 1789 y el sistema que cayó fue la monarquía, lo que trajo cambios significativos para Francia",7.5
"En 1789, el pueblo se rebeló contra la monarquía y consiguió establecer una república, aunque no fue fácil",7
"La Revolución Francesa fue en 1789 y lo que cayó fue la monarquía, dando paso a una nueva forma de gobierno",6.5
"La Revolución Francesa ocurrió en 1789 y derrocó a la monarquía, lo cual fue importante para la historia de Francia",6
"1789, Revolución Francesa, monarquía cayó, república surgío",5
"La Revolución Francesa fue en 1789, creo que cayó la monarquía, pero no recuerdo bien los detalles",4.5
"En 1789, algo pasó en Francia, creo que fue la Revolución Francesa, pero no sé qué sistema cayó exactamente",4
"No me acuerdo exactamente del año, pero la Revolución Francesa fue importante y cambió el sistema de gobierno",3.5
"La Revolución Francesa, creo que fue en 1789, pero no estoy seguro de qué pasó exactamente",3
"Algo sobre la Revolución Francesa y la monarquía, pero no me acuerdo de los detalles",2.5
"No sé nada sobre la Revolución Francesa, solo que fue importante",2
La Revolución Francesa fue en 1790 y cayó la república,1
No tengo idea de qué fue la Revolución Francesa,0
"La Revolución Francesa se dio en 1789 y cayó la dictadura, dando paso a la monarquía",1
"En 1789, el pueblo francés se levantó contra la república y estableció una monarquía",1
La Revolución Francesa fue en 1788 y cayó el sistema de esclavitud,1
"1789, eso fue cuando la Revolución Francesa derrocó al presidente y estableció una monarquía",1
La Revolución Francesa empezó en 1790 y el sistema que cayó fue la república,1
"En 1789, el pueblo se rebeló contra la república y consiguió establecer una dictadura",1
La Revolución Francesa fue en 1789 y lo que cayó fue el sistema de feudalismo,2
"La Revolución Francesa ocurrió en 1789 y derrocó al pueblo, estableciendo una monarquía",1
"1789, Revolución Francesa, república cayó, monarquía surgío",1
"La Revolución Francesa fue en 1789, creo que cayó la república, pero no recuerdo bien los detalles",1
"En 1789, algo pasó en Francia, creo que fue la Revolución Francesa, pero no sé qué sistema cayó exactamente, tal vez la monarquía",2
"No me acuerdo exactamente del año, pero la Revolución Francesa fue importante y cambió el sistema de gobierno, creo que cayó la monarquía",2
"La Revolución Francesa, creo que fue en 1789, pero no estoy seguro de qué pasó exactamente, tal vez cayó la república",1
"Algo sobre la Revolución Francesa y la república, pero no me acuerdo de los detalles",1
"La Revolución Francesa fue en 1789 y cayó la monarquía, eso es todo lo que sé",2
"En 1789, el pueblo francés se levantó contra la monarquía y estableció una república, creo",3
"La Revolución Francesa fue en 1789 y cambió el sistema de gobierno, pero no recuerdo cómo",2
"1789, eso fue cuando la Revolución Francesa derrocó al rey y estableció una república, tal vez",3
"La Revolución Francesa empezó en 1789 y el sistema que cayó fue la monarquía, creo que sí",3
"En 1789, el pueblo se rebeló contra la monarquía y consiguió establecer una república, eso creo",3
"La Revolución Francesa fue en 1789 y lo que cayó fue la monarquía, eso es lo que recuerdo",3
"La Revolución Francesa ocurrió en 1789 y derrocó a la monarquía, estableciendo una república, tal vez",3
"1789, Revolución Francesa, monarquía cayó, república surgío, eso es lo que sé",4
"La Revolución Francesa fue en 1789, creo que cayó la monarquía y se estableció una república",4
"En 1789, algo pasó en Francia, creo que fue la Revolución Francesa y cayó la monarquía",4
"No me acuerdo exactamente del año, pero la Revolución Francesa fue importante y cambió el sistema de gobierno, creo que cayó la monarquía y se estableció una república",4
"La Revolución Francesa, creo que fue en 1789 y cayó la monarquía, tal vez se estableció una república",4
"Algo sobre la Revolución Francesa y la monarquía, pero no me acuerdo de los detalles, solo que cayó la monarquía",4
